seed,cluster,assigned_label,pct_major_label
0,0,2,51.87
0,1,2,62.42
0,2,1,56.42
1,0,2,51.84
1,1,1,56.65
1,2,2,61.84
2,0,1,58.15
2,1,2,62.76
2,2,1,48.74
3,0,2,51.77
3,1,2,61.88
3,2,1,56.6
4,0,2,52.31
4,1,2,62.21
4,2,1,56.57
5,0,1,48.98
5,1,1,58.18
5,2,2,62.75
6,0,1,56.8
6,1,2,51.87
6,2,2,61.84
7,0,1,58.2
7,1,2,62.68
7,2,1,48.87
8,0,1,48.91
8,1,2,62.81
8,2,1,58.31
9,0,1,58.3
9,1,2,62.88
9,2,1,48.79
10,0,1,56.86
10,1,2,61.88
10,2,2,51.9
11,0,1,58.1
11,1,2,62.81
11,2,1,48.79
12,0,2,62.51
12,1,1,56.59
12,2,2,52.03
13,0,2,51.85
13,1,1,56.66
13,2,2,62.53
14,0,2,62.49
14,1,1,56.66
14,2,2,52.12
