seed,cluster,assigned_label,pct_major_label
0,0,1,56.57
0,1,2,51.72
0,2,2,61.75
1,0,1,57.92
1,1,2,62.68
1,2,1,48.87
2,0,2,61.83
2,1,2,51.69
2,2,1,56.57
3,0,1,56.56
3,1,2,61.71
3,2,2,51.72
4,0,1,56.56
4,1,2,61.71
4,2,2,51.71
5,0,2,62.42
5,1,1,56.44
5,2,2,51.95
6,0,2,51.73
6,1,2,61.76
6,2,1,56.55
7,0,2,62.42
7,1,1,56.43
7,2,2,51.9
8,0,2,62.42
8,1,2,51.89
8,2,1,56.42
9,0,1,56.46
9,1,2,51.95
9,2,2,62.43
10,0,2,62.65
10,1,1,48.84
10,2,1,57.93
11,0,1,56.42
11,1,2,62.43
11,2,2,51.88
12,0,2,51.64
12,1,1,56.54
12,2,2,61.7
13,0,2,62.43
13,1,1,56.45
13,2,2,51.94
14,0,2,61.8
14,1,2,51.7
14,2,1,56.57
